circulatory_ratio,relief,avg_slope,elongation_ratio,drainage_density,shape_factor,relief_ratio,ruggedness,aae_area,buildings_aae_count,buildings_x_count,water_bodies_area,dams_count,bridges_count,streets_km,railroads_km,population_density,avg_median_income,population_change,dependent_population_pct,dist_to_stream_avg,dist_to_stream_stdev,avg_impervious_percent,orb100yr24ha_am,policy_total_building_coverage_avg,claims_total_building_insurance_coverage_avg
0.5,0.331102525,0.087524494,0.041666667,0.050151976,0.18865867,0,0.051282051,1,0.115780911,0.02815735,0.036775106,0,0.192982456,0.032258847,0.118906663,0.057238435,0.516103557,0.071991894,0.72094214,0.472421511,0.413336622,0.00957121,0.667061003,0.616982994,0.98214545
1,0.222781841,0.198563031,0.466666667,0.621580547,0.175027263,0,0.487179487,0.032072125,0.002169197,0,0.074964639,0,0.192982456,0.02924317,0.016122937,0.080588464,0.470084786,0.048469248,0.766001024,0.006411515,0.011889492,0.011294028,0.342045936,0.416756512,0
0.75,0.41686215,0.391247551,0.066666667,0.065349544,0.313522356,0,0.076923077,0.050399054,0.004067245,0,0.060820368,0.142857143,0.070175439,0.043052221,0.081748331,0.030820411,0.51199421,0.049126458,0.807987711,0.265233658,0.280299293,0,0.638119685,0.335920952,0.274630036
0.346153846,0.942527943,0.49836708,0,0.167173252,0.331515812,0.5,0.461538462,0.05675436,0.008947939,0,0.108910891,0.714285714,0.105263158,0.15381568,0.121803754,0.125540133,0.553803586,0.078892601,0.641065028,0.104698973,0.110795922,0,0.638119685,0.421672631,0.151663857
0.596153846,0.023871947,0.013063357,0,0.025835866,0.263904035,0,0.025641026,0.065326633,0.000813449,0,0.277227723,0,0.070175439,0.026453871,0.061090817,0.130134733,0.406731521,0.07429213,0.65437788,0.558727345,0.559406348,0.0237366,0.571371175,1,0.58869174
0.634615385,0.023871947,0.013063357,0.375,0.072948328,0.260087241,0,0.128205128,0.140703518,0.002169197,0,0.056577086,0.142857143,0.210526316,0.027432147,0,0.03487534,0.55472626,0.100936524,0.825908858,0.525783489,0.466864003,0.0237366,0.571371175,0.484631727,0.394167012
0.538461538,1,0.729588504,0.625,0.056231003,0.069792803,0.5,0.128205128,0.044487142,0.007592191,0.001242236,0.12446959,1,0.140350877,0.020163801,0,0.014268024,0.52707938,0.044115231,0.843830005,0.270130642,0.296234172,0.002679939,0.610097989,0.462131197,0.352029071
0.826923077,0.568649096,0.387328543,0,0.019756839,0.035441658,0.5,0.051282051,0.047590896,0.062635575,0.022774327,0.043847242,0.142857143,0.421052632,0.349050426,0.258722761,0.623719667,0.216559003,0.163426256,0,0.528711583,0.58409801,0,0.638119685,0.958407328,0.573618249
0.519230769,0.364426659,0.387328543,0.616666667,0.589665653,0.079062159,0.5,0.692307692,0.044487142,0.001626898,0,0.43281471,0.142857143,0.070175439,0.040715677,0.024310367,0.085944517,0.487163599,0.075113643,0.927291347,0.013109108,0.013369512,0.013591118,0.681507109,0.130655388,8.88E-05
0.557692308,0.484614323,0.154800784,0.433333333,0.566869301,0.209378408,0.5,0.820512821,0.002660361,0.000542299,0,0.050919378,0,0.087719298,0.002077825,0,0.038741752,0.381663682,0.031162714,0.73374296,0.119771362,0.122471633,0.002871363,0.671712685,0.010515275,0
0.480769231,0.37512074,0.291312867,0.466666667,0.14893617,0.146673937,0.5,0.179487179,0.101241502,0.018438178,0.000414079,0.048090523,0.285714286,0.140350877,0.046868305,0,0.113146173,0.692152933,0.034941673,0.785970302,0.163844216,0.155829633,0.048621746,0.720948193,0.377532681,0.101101773
0.769230769,0.023871947,0.013063357,0.35,0.056231003,0.325517993,0,0.076923077,0.076115873,0.007863341,0.000414079,0.140028289,0.285714286,0.175438596,0.034320503,0.03086031,0.11147541,0.679932056,0.096144367,0.613415259,0.380467037,0.31636244,0.0237366,0.571371175,0.409421784,0.333059524
0.230769231,0.893542155,1,0.2,0.056231003,1,0,0.153846154,0.109518179,0.004338395,0,0.04950495,0,0.052631579,0.038314455,0.063861947,0.016219713,0.190592279,0.046935758,1,0.52407263,0.511297484,0.007274119,0.700738823,0.25232411,0.05778175
0.480769231,0.431005933,0.400391901,0.5,0.007598784,0.120501636,0,0.025641026,0.171888856,0.007049892,0,0.284299859,0.571428571,0.140350877,0.084075125,0.122181635,0.029729979,0.605906894,0.043102032,0.728622632,1,0.696357507,0,0.638119685,0.342778391,0.043355896
0.557692308,0.50220781,0.31809275,0.533333333,0.013677812,0.104143948,0.5,0.025641026,0.095329589,0.004067245,0,0.162659123,0.142857143,0.122807018,0.047159362,0.100768359,0.058391705,0.680076571,0.050139657,0.80030722,0.932709945,0.68289755,0.033882083,0.771161358,0.448668193,0.158719359
0.230769231,0.462122257,0.482037884,0.041666667,0.034954407,0.243729553,0,0.051282051,0.15740467,0.004609544,0,0.693069307,0,0.175438596,0.050595455,0.116135533,0.057918569,0.632970155,0.048907388,0.828469022,0.464545949,0.378128597,0,0.638119685,0.292335856,0.175409561
0.384615385,0.279425969,0.282168517,0.058333333,0.025835866,0.033260632,0,0.025641026,0.374963051,0.010845987,0,0.366336634,0.142857143,0.473684211,0.116875662,0.153545787,0.0107195,0.586730831,0.069664275,0.89656938,0.725381858,0.568557803,0.008039816,0.796415259,0.174946099,0.063360892
0.211538462,0.145370498,0.163945134,0.366666667,0.016717325,0.144492912,0,0,0.056606562,0.022234273,0.016977226,0.23903819,0,0.192982456,0.122712977,0.32308855,0.11481324,0.407920992,0.042472205,0.911930364,0.475585198,0.621230061,0,0.638119685,0.451519299,0.086967664
0.5,0.023871947,0.013063357,0.658333333,0.053191489,0.063794984,0,0,0,0,0,0.927864215,0,0.035087719,0.129666012,0,0.045879461,0.445832236,0.030888877,0.843830005,0.448766779,0.390659431,0.0237366,0.571371175,0.208559728,0.23948264
0.307692308,0,0.006531679,0.366666667,1,0.30697928,0,0.256410256,0.661099616,0.039587852,0,0.008486563,0,0.175438596,0,0.042700592,0.008911971,0.634198535,0.055808095,0.7875064,0.008615999,0.01223483,0.011102603,0.647556974,0.247411148,0.187800188
0.288461538,0.289637091,0.168517309,0.383333333,0.031914894,0.224645583,0,0.025641026,0.187259829,0.067787419,0.044306418,0.81612447,0.428571429,0.333333333,0.197183212,0.20493765,0.20467592,0.902896864,0.112465086,0.770097286,0.576997078,0.613838185,0.175918836,1,0.262113256,0.183851843
0.480769231,0.079826135,0.042455911,0.775,0.069908815,0.033805889,0,0.025641026,0,0,0,0.042432815,0,0.035087719,0.014787326,0.037788135,0,0.362598785,0.04556657,0.736303123,0.293392718,0.291753001,0.015888208,0.669677016,0,0
