subwatershed,area,perimeter,circulatory_ratio,relief,avg_slope,watershed_length,elongation_ratio,drainage_density,shape_factor,relief_ratio,ruggedness,aae_area,buildings_aae_count,x_area,buildings_x_count,water_bodies_area,dams_count,bridges_count,streets_km,railroads_km,population,population_density,avg_median_income,housing_density,population_change,dependent_population_pct,dist_to_stream_avg (m),dist_to_stream_stdev (m),lu_21_area,lu_22_area,lu_23_area,lu_24_area,lu_41_area,lu_82_area,avg_impervious_percent,orb100yr24ha_am,orb25yr24ha_am,orb2yr24ha_am,orb50yr24ha_am,policy_total_building_coverage_avg,claims_total_building_insurance_coverage_avg
51202080401,58.80,42.32,0.41,160.97,12.13,11.19,0.75,0.53,2.25,0.01,0.09,3.01,28.00,0.10,3.00,0.90,7.00,8.00,75.76,0.00,"5,153.00",92.51,"57,282.00",8.80,-201.00,41.60,546.64,401.73,2.74,0.14,0.02,0.00,35.57,7.16,0.29,"6,726.61","5,246.12","2,801.86","5,964.14","38,071.32","34,738.88"
51202080801,65.08,38.05,0.56,98.45,6.89,9.87,0.00,0.27,1.50,0.01,0.03,3.22,231.00,0.14,55.00,0.33,1.00,24.00,482.55,20.54,"112,998.00","406,954,298.18","43,315.43","29,812,631.02","4,156.00",25.12,"1,007.62",751.83,15.05,12.99,6.96,2.37,11.56,1.05,0.15,"6,789.38","5,329.28","2,861.72","6,040.96","78,955.57","56,605.71"
51202080806,102.18,78.80,0.21,136.70,10.62,18.57,0.00,"8,200,226.41","53,184,354.75",0.01,"1,121,009.96",14.63,29.00,0.00,0.00,0.47,1.00,14.00,173.64,16.43,"23,740.00","3,660,753,381.81","62,003.40","205,396,946.27",-173.00,40.26,847.27,514.14,6.58,0.77,0.32,0.15,39.88,12.75,0.83,"6,770.37","5,330.95","2,870.21","6,034.24","37,777.76","12,935.44"
51202081102,57.08,42.31,0.40,68.85,6.89,11.46,0.74,4.02,2.30,0.01,0.28,3.01,6.00,0.00,0.00,3.08,1.00,4.00,101.18,1.93,"16,069.00",281.54,"55,486.67",18.40,931.00,43.23,88.44,57.71,3.51,0.62,0.09,0.02,14.92,16.04,0.86,"6,886.57","5,457.59","2,969.70","6,157.78","10,763.66",8.76
51202081203,48.52,38.00,0.42,86.27,3.33,15.09,0.52,3.87,4.69,0.01,0.33,0.18,2.00,0.00,0.00,0.38,0.00,5.00,53.39,0.00,"7,464.00",153.84,"50,741.50",3.34,-674.00,39.45,278.59,190.40,1.80,0.12,0.03,0.00,4.90,34.76,0.30,"6,864.63","5,412.97","2,920.81","6,121.48",866.27,0.00
51202081501,50.71,40.87,0.38,70.40,5.42,13.40,0.56,1.30,4.11,0.01,0.09,6.85,68.00,0.21,1.00,0.36,2.00,8.00,108.79,0.00,"18,010.00",412.54,"64,706.67",28.84,-536.00,40.47,357.16,230.97,2.62,1.69,0.68,0.22,10.45,27.95,2.69,"6,974.92","5,491.99","2,955.99","6,217.55","31,101.92","9,976.91"
51202090103,53.48,42.15,0.38,106.82,14.59,6.83,1.16,0.44,0.95,0.02,0.05,4.28,1.00,0.00,0.00,3.07,0.00,6.00,67.70,5.02,"7,514.00",152.79,"46,554.00",5.12,-239.00,42.85,"1,092.22",659.24,2.72,0.26,0.12,0.05,33.60,1.27,0.58,"6,924.55","5,471.59","2,955.53","6,182.38","22,824.25",59.58
51401010404,74.48,48.67,0.40,94.62,9.49,21.36,0.33,1.38,11.81,0.00,0.13,3.50,14.00,0.00,0.00,0.44,1.00,8.00,102.19,13.05,"19,716.00",510.52,"55,528.00",38.58,"1,165.00",37.80,607.79,401.10,4.77,1.38,0.62,0.29,32.06,13.19,1.81,"6,956.31","5,389.16","2,869.34","6,145.65","31,806.72","25,610.81"
51401010804,72.78,41.67,0.53,19.49,1.16,22.28,0.42,0.55,7.37,0.00,0.01,5.15,29.00,0.28,1.00,1.01,2.00,10.00,93.27,2.45,"25,518.00",378.87,"64,157.00",8.51,"1,699.00",37.10,743.34,426.21,3.87,0.29,0.03,0.01,27.63,14.82,1.39,"6,639.86","5,110.29","2,621.49","5,850.60","33,729.01","32,866.93"
51401040302,67.89,49.07,0.35,105.05,10.82,24.40,0.37,0.71,9.35,0.00,0.08,3.82,112.00,0.43,67.00,0.86,6.00,15.00,197.22,0.00,"34,646.00",544.37,"72,658.57",40.82,"1,424.00",39.70,671.98,484.63,7.47,1.86,0.81,0.20,31.36,1.28,2.42,"6,833.57","5,315.95","2,843.85","6,051.13","28,463.11","23,883.33"
51401041105,73.78,60.78,0.25,145.54,16.27,37.63,0.24,0.57,21.34,0.00,0.08,7.41,16.00,0.00,0.00,0.37,0.00,3.00,98.21,5.07,"6,855.00",103.33,"42,147.50",2.00,-98.00,44.65,999.35,663.29,3.19,0.64,0.06,0.00,48.74,2.63,0.53,"6,929.65","5,476.10","2,963.00","6,187.07","20,786.98","5,702.01"
