ws_id,ws_fraction,policy_total_building_coverage_avgw,policy_total_contents_coverage_avgw,policy_total_insurance_premium_avgw,claims_amt_paid_building_avgw,claims_amt_paid_contents_avgw,claims_total_building_insurance_coverage_avgw,claims_total_contents_insurance_coverage_avgw,policy_total_building_coverage_sum,policy_total_contents_coverage_sum,policy_total_insurance_premium_sum,claims_amt_paid_building_sum,claims_amt_paid_contents_sum,claims_total_building_insurance_coverage_sum,claims_total_contents_insurance_coverage_sum,NAME_cnty
051201050201,1.0,31130.89136,4884.5207390000005,99.02237099999999,1817.812722,1806.6168579999999,13096.13855,5384.346686999999,6161077.32,1624001.456,32694.61812,33859.30208,21465.33629,242564.9756,90751.76065,Cass
051201050202,1.0,17817.57564,4663.836007,115.3154551,3877.6864530000003,16191.73136,34638.20987,22736.24412,16197591.17,3877479.475,106775.1983,28019.55992,52180.19465,301860.8281,131170.2206,Cass
051201050203,1.0,47631.815910000005,5438.762478000001,127.37355190000001,483.0187364,1676.52479,7407.339099,3503.2532770000003,11264958.59,2367238.892,72617.83871,6006.430894,15491.18261,126866.5916,49958.3099,Cass
051201050206,1.0,28756.46995,9666.484365,140.40387919999998,20.24247041,0.891109707,847.4104261,270.9379452,5309892.884,1305820.121,33535.75252,1092.727399,51.35875271,42365.54074,13025.55192,Cass
051201050401,1.0,49617.13022,14237.436969999999,244.4755207,3047.68996,801.3874351,42640.29176,13775.365130000002,8355843.041,2398369.063,41153.07628,21363.54711,5617.5262060000005,298913.1426,96568.00607999999,Howard
051201050403,1.0,23037.2728,8192.859178,155.6376316,1708.6875850000001,988.9215012,16936.69359,7080.225831000001,47249812.88,19544061.53,407922.7794,559427.4393,438635.2942,3948186.566,2135860.904,Howard
051201050404,1.0,49113.32418,19817.41763,182.2932753,3725.6655170000004,532.8564857,33011.15756,10520.09958,30739561.14,12570302.36,154574.5856,164051.4865,88435.11975,1258472.5729999999,560396.9907,Howard
051201050501,1.0,39163.3971,13900.14712,188.9406382,4927.547557,1383.708265,24339.33173,7094.339095,23576777.46,9344953.226,88411.33371,81784.71981000001,14298.798469999998,630457.3539999999,198461.4261,Howard
051201050502,1.0,42212.87497,10289.70212,80.01239074,3249.900457,797.1056017999999,16816.96718,5453.393388,4057192.89,1419791.4530000002,9980.840602,39289.00121,9245.83966,216511.3758,69965.9398,Cass
051201050507,1.0,84867.50525,10095.88384,183.6859517,497.1934068,120.29027350000001,2693.532154,872.1760112,8859201.946,2466457.839,34771.96505,31761.977880000002,7240.3436409999995,207122.5318,66835.79122,Cass
051201060101,1.0,19130.79132,4557.076993,147.76873469999998,591.2296342999999,143.1511908,9507.921041,2709.564779,20485964.29,2778148.816,131602.7642,11885.15525,1967.951564,135511.8533,36361.82927,Whitley
051201060102,1.0,44734.223939999996,12615.63665,370.58484310000006,868.0375232000001,348.8794763,22445.84923,6741.721161,3074387.838,782665.1325,23434.7504,4737.987364,1852.6869969999998,116964.7094,35176.62371,Kosciusko
051201060103,1.0,50743.4779,6591.055928,315.9041778,2957.838726,327.3418584,25565.88032,6553.041096,116850614.7,14462877.64,724836.337,62035.1504,6559.974150999999,624688.5014,169034.9844,Whitley
